gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Sod2	-0.011693856	6.155265954	0.073867355	0.78578696	0.941130404	pseudobulk	edgeR	LRT
Senp6	0.009612425	6.802072042	0.073818805	0.785855652	0.941135289	pseudobulk	edgeR	LRT
Rab11a	0.014388092	5.340753049	0.073652997	0.786090434	0.941262717	pseudobulk	edgeR	LRT
Btbd1	-0.012343	5.893119751	0.073447461	0.786381864	0.941452882	pseudobulk	edgeR	LRT
Csad	0.018017765	4.548433698	0.073115394	0.78685363	0.941651536	pseudobulk	edgeR	LRT
Hid1	0.016165218	4.988089625	0.072840725	0.78724472	0.94173558	pseudobulk	edgeR	LRT
Ndufa10	0.014497171	5.575938626	0.072801818	0.787300182	0.94173558	pseudobulk	edgeR	LRT
Zfp398	0.01271962	5.776110968	0.072792376	0.787313644	0.94173558	pseudobulk	edgeR	LRT
Ccdc92	-0.016908157	5.030606796	0.072736419	0.787393444	0.94173558	pseudobulk	edgeR	LRT
Pias2	0.009252942	7.303961573	0.072668069	0.787490962	0.941783576	pseudobulk	edgeR	LRT
1110004F10Rik	0.016282101	4.915266377	0.072171262	0.788201267	0.942494381	pseudobulk	edgeR	LRT
Arhgap32	0.007929862	8.328105936	0.071465939	0.789214212	0.94333327	pseudobulk	edgeR	LRT
Ice1	-0.009586119	6.750497862	0.07119959	0.789598119	0.943468635	pseudobulk	edgeR	LRT
Add1	0.010357467	6.905100708	0.070973823	0.789924137	0.94358284	pseudobulk	edgeR	LRT
Tmem248	0.017158726	4.742552841	0.07077492	0.790211822	0.943725859	pseudobulk	edgeR	LRT
Stx7	-0.012661699	5.781294927	0.070746721	0.790252643	0.943725859	pseudobulk	edgeR	LRT
Gaa	0.014878458	5.228890618	0.070269317	0.790945059	0.943856941	pseudobulk	edgeR	LRT
Slc25a3	0.00930226	7.146143851	0.070183163	0.791070282	0.943856941	pseudobulk	edgeR	LRT
Ptp4a2	0.014350931	5.497497717	0.070155425	0.791110616	0.943856941	pseudobulk	edgeR	LRT
Zfx	0.014334416	5.436070114	0.070118996	0.791163601	0.943856941	pseudobulk	edgeR	LRT
Wdr59	0.017424638	4.69519314	0.070076296	0.791225725	0.943856941	pseudobulk	edgeR	LRT
Gap43	-0.009201452	7.596515116	0.069645808	0.791853183	0.944268173	pseudobulk	edgeR	LRT
Atg3	-0.012612147	5.644565515	0.069012938	0.792779398	0.944772047	pseudobulk	edgeR	LRT
Cipc	0.014142085	5.265152858	0.068372683	0.793721055	0.945309483	pseudobulk	edgeR	LRT
Ly6e	-0.014572449	5.301812596	0.068219652	0.793946823	0.945458477	pseudobulk	edgeR	LRT
Uhmk1	0.014356052	5.487459676	0.067883942	0.794443045	0.945876357	pseudobulk	edgeR	LRT
Crtc1	0.014615651	5.26665937	0.067707131	0.794704923	0.946049577	pseudobulk	edgeR	LRT
Atp6v0e	0.014340679	5.171953477	0.067105666	0.795598503	0.946835993	pseudobulk	edgeR	LRT
Agbl1	0.029659542	4.620394478	0.066556433	0.796418225	0.94729806	pseudobulk	edgeR	LRT
Rnf14	0.010362105	6.410237183	0.066259979	0.796862177	0.947510662	pseudobulk	edgeR	LRT
Actr2	0.010134467	6.475428986	0.066258216	0.796864821	0.947510662	pseudobulk	edgeR	LRT
Nsmf	-0.010110337	6.605290441	0.065736009	0.797649443	0.948048539	pseudobulk	edgeR	LRT
Nrg2	-0.009315386	6.958861004	0.065341024	0.798245121	0.948273858	pseudobulk	edgeR	LRT
Kiz	0.022296749	4.586593045	0.065140048	0.798548949	0.948494948	pseudobulk	edgeR	LRT
Nln	0.011165183	6.310723715	0.065038327	0.798702918	0.948571306	pseudobulk	edgeR	LRT
Vps16	0.017762029	4.544531957	0.064931913	0.798864127	0.948571306	pseudobulk	edgeR	LRT
Ilf3	0.013244209	5.298845007	0.064715592	0.799192272	0.948612906	pseudobulk	edgeR	LRT
Smg1	-0.008527383	7.510179607	0.064664577	0.799269744	0.948658686	pseudobulk	edgeR	LRT
Anapc2	-0.015777391	4.70526255	0.064582071	0.799395105	0.948761299	pseudobulk	edgeR	LRT
Acap3	0.014607505	5.334365866	0.064518737	0.799491395	0.948788952	pseudobulk	edgeR	LRT
Elmo1	-0.009774647	7.443864223	0.064338736	0.799765335	0.948923594	pseudobulk	edgeR	LRT
Eef1d	-0.016514708	4.768051771	0.064153186	0.800048148	0.9489583	pseudobulk	edgeR	LRT
Ergic2	0.012549893	5.673808261	0.063930791	0.800387692	0.949096366	pseudobulk	edgeR	LRT
Top3b	-0.014569506	5.2597905	0.063489338	0.801063551	0.949362929	pseudobulk	edgeR	LRT
